1F4FA,tv,491: :tv:
1F4FB,radio,492: :radio:
1F4FC,vhs,493: :vhs:
1F500,twisted_rightwards_arrows,494: :twisted_rightwards_arrows:
1F501,repeat,495: :repeat:
1F502,repeat_one,496: :repeat_one:
1F503,arrows_clockwise,497: :arrows_clockwise:
1F504,arrows_counterclockwise,498: :arrows_counterclockwise:
1F505,low_brightness,499: :low_brightness:
1F506,high_brightness,500: :high_brightness:
1F507,mute,501: :mute:
1F508,speaker,502: :speaker:
1F509,sound,503: :sound:
1F50A,loud_sound,504: :loud_sound:
1F50B,battery,505: :battery:
1F50C,electric_plug,506: :electric_plug:
1F50D,mag,507: :mag:
1F50E,mag_right,508: :mag_right:
1F50F,lock_with_ink_pen,509: :lock_with_ink_pen:
1F510,closed_lock_with_key,510: :closed_lock_with_key:
1F511,key,511: :key:
1F512,lock,512: :lock:
1F513,unlock,513: :unlock:
1F514,bell,514: :bell:
1F515,no_bell,515: :no_bell:
1F516,bookmark,516: :bookmark:
1F517,link,517: :link:
1F518,radio_button,518: :radio_button:
1F519,back,519: :back:
1F51A,end,520: :end:
1F51B,on,521: :on:
1F51C,soon,522: :soon:
1F51D,top,523: :top:
1F51E,underage,524: :underage:
1F51F,keycap_ten,525: :keycap_ten:
1F520,capital_abcd,526: :capital_abcd:
1F521,abcd,527: :abcd:
1F522,1234,528: :1234:
1F523,symbols,529: :symbols:
1F524,abc,530: :abc:
1F525,fire,531: :fire:
1F526,flashlight,532: :flashlight:
1F527,wrench,533: :wrench:
1F528,hammer,534: :hammer:
1F529,nut_and_bolt,535: :nut_and_bolt:
1F52A,hocho/knife,536: :hocho/knife:
1F52B,gun,537: :gun:
1F52C,microscope,538: :microscope:
1F52D,telescope,539: :telescope:
1F52E,crystal_ball,540: :crystal_ball:
1F52F,six_pointed_star,541: :six_pointed_star:
1F530,beginner,542: :beginner:
1F531,trident,543: :trident:
1F532,black_square_button,544: :black_square_button:
1F533,white_square_button,545: :white_square_button:
1F534,red_circle,546: :red_circle:
1F535,large_blue_circle,547: :large_blue_circle:
1F536,large_orange_diamond,548: :large_orange_diamond:
1F537,large_blue_diamond,549: :large_blue_diamond:
1F538,small_orange_diamond,550: :small_orange_diamond:
1F539,small_blue_diamond,551: :small_blue_diamond:
1F53A,small_red_triangle,552: :small_red_triangle:
1F53B,small_red_triangle_down,553: :small_red_triangle_down:
1F53C,arrow_up_small,554: :arrow_up_small:
1F53D,arrow_down_small,555: :arrow_down_small:
1F550,clock1,556: :clock1:
1F551,clock2,557: :clock2:
1F552,clock3,558: :clock3:
1F553,clock4,559: :clock4:
1F554,clock5,560: :clock5:
1F555,clock6,561: :clock6:
1F556,clock7,562: :clock7:
1F557,clock8,563: :clock8:
1F558,clock9,564: :clock9:
1F559,clock10,565: :clock10:
1F55A,clock11,566: :clock11:
1F55B,clock12,567: :clock12:
1F55C,clock130,568: :clock130:
1F55D,clock230,569: :clock230:
1F55E,clock330,570: :clock330:
1F55F,clock430,571: :clock430:
1F560,clock530,572: :clock530:
1F561,clock630,573: :clock630:
1F562,clock730,574: :clock730:
1F563,clock830,575: :clock830:
1F564,clock930,576: :clock930:
1F565,clock1030,577: :clock1030:
1F566,clock1130,578: :clock1130:
1F567,clock1230,579: :clock1230:
1F5FB,mount_fuji,580: :mount_fuji:
1F5FC,tokyo_tower,581: :tokyo_tower:
