1f1e9-1f1ea,1f1e9-1f1ea,Germany,:flag_de:,:de:,9,4,168: :flag_de: | :de:,168: :flag_de:,168: :de:
1f1ea-1f1f8,1f1ea-1f1f8,Spain,:flag_es:,:es:,9,4,169: :flag_es: | :es:,169: :flag_es:,169: :es:
1f1eb-1f1f7,1f1eb-1f1f7,France,:flag_fr:,:fr:,9,4,170: :flag_fr: | :fr:,170: :flag_fr:,170: :fr:
1f1ec-1f1e7,1f1ec-1f1e7,United Kingdom,:flag_gb:,:gb:,9,4,171: :flag_gb: | :gb:,171: :flag_gb:,171: :gb:
1f942,1f942,clinking glasses,:champagne_glass:,:clinking_glass:,17,16,172: :champagne_glass: | :clinking_glass:,172: :champagne_glass:,172: :clinking_glass:
1f943,1f943,tumbler glass,:tumbler_glass:,:whisky:,15,8,173: :tumbler_glass: | :whisky:,173: :tumbler_glass:,173: :whisky:
1f1ee-1f1f9,1f1ee-1f1f9,Italy,:flag_it:,:it:,9,4,174: :flag_it: | :it:,174: :flag_it:,174: :it:
1f1ef-1f1f5,1f1ef-1f1f5,Japan,:flag_jp:,:jp:,9,4,175: :flag_jp: | :jp:,175: :flag_jp:,175: :jp:
1f1f0-1f1f7,1f1f0-1f1f7,South Korea,:flag_kr:,:kr:,9,4,176: :flag_kr: | :kr:,176: :flag_kr:,176: :kr:
1f1fa-1f1f8,1f1fa-1f1f8,United States,:flag_us:,:us:,9,4,177: :flag_us: | :us:,177: :flag_us:,177: :us:
1f1f7-1f1fa,1f1f7-1f1fa,Russia,:flag_ru:,:ru:,9,4,178: :flag_ru: | :ru:,178: :flag_ru:,178: :ru:
1f201,1f201,Japanese “here” button,:koko:,,6,0,179: :koko: | ,179: :koko:,179: 
1f202,1f202-fe0f,Japanese “service charge” button,:sa:,,4,0,180: :sa: | ,180: :sa:,180: 
1f21a,1f21a,Japanese “free of charge” button,:u7121:,,7,0,181: :u7121: | ,181: :u7121:,181: 
1f22f,1f22f,Japanese “reserved” button,:u6307:,,7,0,182: :u6307: | ,182: :u6307:,182: 
1f959,1f959,stuffed flatbread,:stuffed_flatbread:,:stuffed_pita:,19,14,183: :stuffed_flatbread: | :stuffed_pita:,183: :stuffed_flatbread:,183: :stuffed_pita:
1f232,1f232,Japanese “prohibited” button,:u7981:,,7,0,184: :u7981: | ,184: :u7981:,184: 
1f233,1f233,Japanese “vacancy” button,:u7a7a:,,7,0,185: :u7a7a: | ,185: :u7a7a:,185: 
1f234,1f234,Japanese “passing grade” button,:u5408:,,7,0,186: :u5408: | ,186: :u5408:,186: 
1f235,1f235,Japanese “no vacancy” button,:u6e80:,,7,0,187: :u6e80: | ,187: :u6e80:,187: 
1f236,1f236,Japanese “not free of charge” button,:u6709:,,7,0,188: :u6709: | ,188: :u6709:,188: 
1f958,1f958,shallow pan of food,:shallow_pan_of_food:,:paella:,21,8,189: :shallow_pan_of_food: | :paella:,189: :shallow_pan_of_food:,189: :paella:
1f237,1f237-fe0f,Japanese “monthly amount” button,:u6708:,,7,0,190: :u6708: | ,190: :u6708:,190: 
1f238,1f238,Japanese “application” button,:u7533:,,7,0,191: :u7533: | ,191: :u7533:,191: 
1f239,1f239,Japanese “discount” button,:u5272:,,7,0,192: :u5272: | ,192: :u5272:,192: 
1f957,1f957,green salad,:salad:,:green_salad:,7,13,193: :salad: | :green_salad:,193: :salad:,193: :green_salad:
1f23a,1f23a,Japanese “open for business” button,:u55b6:,,7,0,194: :u55b6: | ,194: :u55b6:,194: 
1f250,1f250,Japanese “bargain” button,:ideograph_advantage:,,21,0,195: :ideograph_advantage: | ,195: :ideograph_advantage:,195: 
1f251,1f251,Japanese “acceptable” button,:accept:,,8,0,196: :accept: | ,196: :accept:,196: 
1f300,1f300,cyclone,:cyclone:,,9,0,197: :cyclone: | ,197: :cyclone:,197: 
1f956,1f956,baguette bread,:french_bread:,:baguette_bread:,14,16,198: :french_bread: | :baguette_bread:,198: :french_bread:,198: :baguette_bread:
