emoji,description,aliases/0,aliases/1,aliases/2,1: :aliases/0: | :aliases/1: | :aliases/2:,tags/0,tags/1,tags/2,tags/3,emoticons/0,emoticons/1,emoticons/2,emoticons/3,emoticons/4,emoticons/5,emoticons/6,emoticons/7,emoticons/8,emoticons/9,emoticons/10,emoticons/11,emoticons/12,emoticons/13,emoticons/14,emoticons/15,emoticons/16,emoticons/17,emoticons/18,emoticons/19,emoticons/20,emoticons/21,emoticons/22,emoticons/23,emoticons/24,emoticons/25,emoticons/26,emoticons/27,emoticons/28,emoticons/29,emoticons/30,emoticons/31,emoticons/32,emoticons/33,emoticons/34,emoticons/35
☝️,white up pointing index,point_up,,,122: :point_up: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👏,clapping hands sign,clap,,,123: :clap: | :: | ::,praise,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💪,flexed biceps,muscle,,,124: :muscle: | :: | ::,flex,bicep,strong,workout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🚶,pedestrian,walking,,,125: :walking: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🏃,runner,runner,running,,126: :runner: | :running: | ::,exercise,workout,marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💃,dancer,dancer,,,127: :dancer: | :: | ::,dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👫,man and woman holding hands,couple,,,128: :couple: | :: | ::,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👪,family,family,,,129: :family: | :: | ::,home,parents,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👬,two men holding hands,two_men_holding_hands,,,130: :two_men_holding_hands: | :: | ::,couple,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👭,two women holding hands,two_women_holding_hands,,,131: :two_women_holding_hands: | :: | ::,couple,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💏,kiss,couplekiss,,,132: :couplekiss: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💑,couple with heart,couple_with_heart,,,133: :couple_with_heart: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👯,woman with bunny ears,dancers,,,134: :dancers: | :: | ::,bunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙆,face with ok gesture,ok_woman,,,135: :ok_woman: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙅,face with no good gesture,no_good,,,136: :no_good: | :: | ::,stop,halt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💁,information desk person,information_desk_person,,,137: :information_desk_person: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙋,happy person raising one hand,raising_hand,,,138: :raising_hand: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💆,face massage,massage,,,139: :massage: | :: | ::,spa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💇,haircut,haircut,,,140: :haircut: | :: | ::,beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💅,nail polish,nail_care,,,141: :nail_care: | :: | ::,beauty,manicure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👰,bride with veil,bride_with_veil,,,142: :bride_with_veil: | :: | ::,marriage,wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙎,person with pouting face,person_with_pouting_face,,,143: :person_with_pouting_face: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙍,person frowning,person_frowning,,,144: :person_frowning: | :: | ::,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙇,person bowing deeply,bow,,,145: :bow: | :: | ::,respect,thanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🎩,top hat,tophat,,,146: :tophat: | :: | ::,hat,classy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👑,crown,crown,,,147: :crown: | :: | ::,king,queen,royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👒,womans hat,womans_hat,,,148: :womans_hat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👟,athletic shoe,athletic_shoe,,,149: :athletic_shoe: | :: | ::,sneaker,sport,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👞,mans shoe,mans_shoe,shoe,,150: :mans_shoe: | :shoe: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👡,womans sandal,sandal,,,151: :sandal: | :: | ::,shoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👠,high-heeled shoe,high_heel,,,152: :high_heel: | :: | ::,shoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👢,womans boots,boot,,,153: :boot: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
